isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-58.6	62	KPN741	CHIFF	C	N	4	8.5	6.7	33.2	11.9	NA	19	NA	NA	NA	NA	27	3	O	7	56	7.5	4	2	RJ	10:30	06/11/2017	40	N	Y	4	8.705	0.0928	79.73	7.824172906
-57.6	5	KPN745	CHIFF	C	N	4	8	7.4	36.5	12.1	NA	20.7	NA	NA	NA	NA	27.4	4	NA	NA	63	7.7	0	1	RJ	10:35	06/11/2017	40	N	Y	4	6.967	0.0746	89.54	6.496127084
-62.7	107	KPN750	CHIFF	C	N	4	8	7	37.2	10.6	NA	20.2	NA	NA	NA	NA	27.4	4	NA	NA	63	7.4	1	2	RJ	11:30	06/11/2017	40	N	Y	4	6.696	0.0571	74.2	6.632947512
-69.6	67	KPN752	CHIFF	C	N	4.5	9.5	6.6	32.5	11	NA	18.2	NA	NA	NA	NA	26.4	4	NA	NA	56	6	1	2	RJ	11:45	06/11/2017	40	N	Y	4	6.964	0.0785	72.6	6.963347659
-60.6	99	KPN734	CHIFF	C	N	4.5	8.5	6.5	32.4	10.4	NA	17.5	NA	NA	NA	NA	26.2	3	O	6	56	6.3	1	1	RJ	12:30	06/11/2017	40	N	Y	4	7.312	0.0694	67.6	8.057708484
-74	47	KPN774	CHIFF	C	N	4.5	7.5	4.8	36.4	10.8	NA	19.9	48	NA	NA	NA	28.2	3	O	4	62	7.6	1	1	RJ	09:00	13/11/2017	47	N	Y	5	7.113	0.0967	51.84	7.069513187
-69.3	43	KPN776	CHIFF	C	N	4	8.5	7.2	37.2	11.7	NA	21.1	51	NA	NA	NA	27.5	4	NA	NA	63	8.4	2	1	RJ	09:10	13/11/2017	47	N	Y	5	7.601	0.0714	84.24	6.758461318
-99	6	KPN780	CHIFF	T	N	5	9.5	6.1	33.8	10.5	NA	18.8	46	NA	NA	NA	26.9	3	O	4	59	6.7	1	1	RJ	09:20	13/11/2017	47	N	Y	5	6.964	0.0745	64.05	7.175283302
-64.6	74	KPN777	CHIFF	C	N	4	10.5	7.8	35.2	12.5	NA	19.1	48	NA	NA	NA	26.5	3	O	7	60	7.1	1	1	RJ	09:30	13/11/2017	47	N	Y	5	7.122	0.0783	97.5	7.311169595
-58.5	46	KPN781	CHIFF	C	N	4	9	6.7	33.1	10.9	NA	19.1	44	NA	NA	NA	28	3	O	4	57	7.5	2	2	RJ	09:40	13/11/2017	47	N	Y	5	8.386	0.0736	73.03	7.723066474
-106.2	101	KPN784	CHIFF	T	N	4	6.5	6	36.6	12.8	NA	19.4	49	NA	NA	NA	26.1	3	O	4	61	7.3	1	2	RJ	09:50	13/11/2017	47	N	Y	5	7.072	0.1114	76.8	7.232378255
-133.2	30	KPN786	CHIFF	T	N	3.5	7.5	6.8	35.8	11.2	NA	19.7	44	NA	NA	NA	25.9	3	O	3	61	9	3	2	RJ	10:30	13/11/2017	47	N	Y	5	8.719	0.0721	76.16	8.583964189
